,Datatype,Missing Values,Cardinality,Percent Unique,Value Information
case_id,int64,0.00%,310135,34.28%,Min: 64999851671 Max: 131234091763 Mean: 122620191962.17 Median: 122727144596.0
case_participant_id,int64,0.00%,334417,36.96%,Min: 260122253823 Max: 1101549575851 Mean: 989469562430.54 Median: 989724759322.0
offense_category,object,0.00%,87,0.01%,Top category: Narcotics (21.06%) Second category: UUW - Unlawful Use of Weapon (18.42%)
primary_charge,bool,0.00%,2,0.00%,True: 36.12% False: 63.88%
charge_id,int64,0.00%,848542,93.79%,Min: 576865764426 Max: 2585372611996 Mean: 2293326901067.60 Median: 2290954560223.0
charge_version_id,int64,0.00%,848542,93.79%,Min: 94353794219 Max: 589642239343 Mean: 521863434924.19 Median: 521188563987.0
charge_offense_title,object,0.00%,1402,0.15%,Top category: AGGRAVATED UNLAWFUL USE OF WEAPON (12.63%) Second category: POSSESSION OF A CONTROLLED SUBSTANCE (10.76%)
chapter,object,0.00%,35,0.00%,Top category: 720 (84.15%) Second category: 625 (13.88%)
act,object,0.00%,49,0.01%,Top category: 5 (76.49%) Second category: 570 (18.97%)
section,object,0.00%,1392,0.15%,Top category: 402(c) (10.49%) Second category: 24-1.6(a)(1) (9.73%)
class,object,0.00%,13,0.00%,Top category: 4 (39.70%) Second category: 2 (22.60%)
aoic,object,0.00%,2331,0.26%,Top category: 5101110 (10.49%) Second category: 0012476 (3.12%)
event,object,2.36%,6,0.00%,Top category: Preliminary Hearing (75.74%) Second category: Indictment (21.01%)
event_date,object,2.36%,2577,0.29%,Top category: 11/12/2019 12:00:00 AM (0.17%) Second category: 1/20/2015 12:00:00 AM (0.11%)
age_at_incident,float64,1.94%,91,0.01%,Min: 17.0 Max: 156.0 Mean: 31.99 Median: nan
gender,object,0.46%,6,0.00%,Top category: Male (89.20%) Second category: Female (10.80%)
race,object,0.64%,13,0.00%,Top category: Black (66.97%) Second category: White [Hispanic or Latino] (17.39%)
incident_begin_date,object,1.28%,4505,0.50%,Top category: 2/2/2016 12:00:00 AM (0.15%) Second category: 12/17/2016 12:00:00 AM (0.11%)
incident_end_date,object,89.12%,3792,3.85%,Top category: 8/22/2011 12:00:00 AM (0.60%) Second category: 2/28/2013 12:00:00 AM (0.47%)
arrest_date,object,3.39%,269479,30.83%,Top category: 5/18/2016 8:15:00 PM (0.08%) Second category: 3/28/2017 8:20:00 AM (0.06%)
law_enforcement_agency,object,0.41%,303,0.03%,Top category: CHICAGO PD (67.10%) Second category: COOK COUNTY SHERIFF (IL0160000) (2.69%)
unit,object,70.07%,98,0.04%,Top category: District 11 - Harrison (19.20%) Second category: District 10 - Ogden (8.05%)
incident_city,object,3.86%,273,0.03%,Top category: Chicago (70.66%) Second category: Cicero (1.52%)
received_date,object,0.00%,3258,0.36%,Top category: 5/19/2016 12:00:00 AM (0.17%) Second category: 10/21/2013 12:00:00 AM (0.11%)
arraignment_date,object,14.05%,2473,0.32%,Top category: 6/28/2016 12:00:00 AM (0.21%) Second category: 2/3/2015 12:00:00 AM (0.13%)
updated_offense_category,object,0.00%,81,0.01%,Top category: Narcotics (21.98%) Second category: UUW - Unlawful Use of Weapon (18.91%)
charge_count,int64,0.00%,668,0.07%,Min: 1 Max: 668 Mean: 6.43 Median: 2.0
